field_1,버스정류장수,자전거도로길이,자전거도로수,지하철역수,공원율,사고 다발 횟수,도로길이,도로수,평균경사도,추정교통량,안정성지수평균,직장인구,생활인구,자전거이용량,자전거도로수용율,cluster
4,1,290.058108298734,5,0,70.44,0.0,2002.68323043774,34,0.6666666666666666,908.2,0.068965517,121155.06,9522.102855416666,32494,0.14483474165574056,3
5,2,330.59518762034,5,0,24.26,0.0,2412.20475282011,47,1.0,1117.0,0.25,434879.7833333333,8791.74633111111,0,0.1370510472769117,3
6,0,89.0889616844052,3,1,24.26,0.0,994.085155952783,15,1.0,1117.0,0.175,434879.7833333333,8791.74633111111,58340,0.08961904435542818,3
18,15,1450.0126590036,18,1,50.96197919156442,0.0344827586206896,3380.1234132715,27,3.333333333333333,2506.993103448276,0.239583333,971247.0088505746,27826.36585806513,156114,0.4289821647666364,2
31,5,104.806131321747,1,0,21.87,0.0344827586206896,1417.42163669519,22,0.6666666666666666,481.7931034482759,0.315789474,415212.1655172413,9512.516671537356,36756,0.07394139373102082,3
47,6,105.968588156061,2,0,1.8500000000000003,0.0,3660.91972727268,73,4.666666666666667,2051.0,0.195652174,302321.175,8366.782472708333,0,0.028945892303135996,3
64,2,27.0028514447878,1,0,26.55,0.0,4655.77701712401,78,3.333333333333333,4744.0,0.162162162,219677.43333333332,38840.18774847222,13864,0.005799859259898177,3
67,3,643.957809265489,5,1,26.55,0.0,8757.73222117805,104,6.666666666666667,4744.0,0.173410405,219677.43333333332,38840.18774847222,65282,0.0735302008559091,3
68,9,776.909801818502,8,0,18.75,0.0,6441.14814035164,79,4.0,1477.8333333333333,0.379746835,123237.88333333332,36387.37786173611,160154,0.12061666412412127,3
70,5,597.464940708114,13,0,18.75,0.0,3736.31548307871,53,7.0,1477.8333333333333,0.86746988,123237.88333333332,36387.37786173611,90610,0.15990751943029316,0
71,2,453.360438131991,9,0,18.75,0.0,2832.91818108438,53,3.0,1477.8333333333333,0.081081081,123237.88333333332,36387.37786173611,65626,0.1600330151287512,3
