field_1,EMD_KOR_NM,대중교통,자전거도로수용율,평균경사도,인구,추정교통량,안정성지수평균,자전거이용량,hierarchical,kmedoids,kmeans,total
0,청운동,8,0.0,27.666666666666668,130677.16285541668,908.2,0.539393939,16882,0,1,2,No
1,신교동,0,0.0,9.666666666666666,130677.16285541668,908.2,0.0,0,0,3,1,No
2,궁정동,0,0.0,1.6666666666666667,130677.16285541668,908.2,0.0,0,0,3,1,No
3,효자동,2,0.0,1.0,130677.16285541668,908.2,0.0,24012,0,3,1,No
4,창성동,1,0.1448347416557405,0.6666666666666666,130677.16285541668,908.2,0.068965517,32494,0,3,1,No
5,통의동,2,0.1370510472769117,1.0,443671.5296644445,1117.0,0.25,0,0,3,1,No
6,적선동,1,0.0896190443554281,1.0,443671.5296644445,1117.0,0.175,58340,0,3,1,No
7,통인동,5,0.0,1.0,130677.16285541668,908.2,0.366666667,0,0,1,1,No
8,누상동,1,0.0,16.666666666666668,130677.16285541668,908.2,0.5,0,0,1,1,No
9,누하동,3,0.0,3.0,130677.16285541668,908.2,0.411764706,0,0,1,1,No
10,옥인동,2,0.0,27.33333333333333,130677.16285541668,908.2,0.333333333,0,0,1,1,No
11,체부동,1,0.0,5.333333333333333,443671.5296644445,1117.0,0.214285714,0,0,3,1,No
12,필운동,0,0.0,9.0,443671.5296644445,1117.0,0.611111111,0,0,1,2,No
13,내자동,4,0.0,1.0,443671.5296644445,1117.0,0.24137931,51906,0,3,1,No
14,사직동,10,0.0,6.666666666666667,443671.5296644445,1117.0,0.176470588,38416,0,3,1,No
15,도렴동,0,0.0,1.0,443671.5296644445,1117.0,0.055555556,0,0,3,1,No
16,당주동,0,0.0,0.6666666666666666,443671.5296644445,1117.0,0.0,69720,0,3,1,No
17,내수동,0,0.0,1.0,443671.5296644445,1117.0,0.0,24336,0,3,1,No
18,세종로,16,0.4289821647666364,3.333333333333333,999073.3747086396,2506.993103448276,0.239583333,156114,0,0,3,No
19,신문로1가,4,0.0,1.6666666666666667,443671.5296644445,1117.0,0.0,81442,0,3,1,No
20,신문로2가,3,0.0,10.666666666666666,443671.5296644445,1117.0,0.065789474,36604,0,3,1,No
21,청진동,0,0.0,0.3333333333333333,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
22,서린동,2,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.0,92914,0,3,1,No
23,수송동,0,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.545454545,0,0,1,2,No
24,중학동,1,0.0982934204274966,1.0,424724.68218877865,481.7931034482759,0.0,22416,0,3,1,No
25,종로1가,5,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.0,52670,0,3,1,No
26,공평동,2,0.0,0.3333333333333333,424724.68218877865,481.7931034482759,0.0,36172,0,3,1,No
27,관훈동,1,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.789473684,0,0,1,2,No
28,견지동,5,0.0,2.0,424724.68218877865,481.7931034482759,2.5,36776,3,2,0,Yes
29,와룡동,4,0.267226382224018,6.0,584349.9433838483,1959.626436781609,0.0,65298,0,3,1,No
30,권농동,1,0.0,3.0,424724.68218877865,481.7931034482759,0.571428571,0,0,1,2,No
31,운니동,5,0.0739413937310208,0.6666666666666666,424724.68218877865,481.7931034482759,0.315789474,36756,0,1,1,No
32,익선동,0,0.0,1.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
33,경운동,5,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.730769231,36908,0,1,2,No
34,관철동,4,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.242424242,40154,0,3,1,No
35,인사동,2,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.434782609,0,0,1,1,No
36,낙원동,1,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.090909091,36488,0,3,1,No
37,종로2가,7,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.518518519,87522,0,1,1,No
38,팔판동,2,0.1642301270459686,2.6666666666666665,90589.43566416664,1250.142857142857,0.0,5912,0,3,1,No
39,삼청동,7,0.0,12.0,90589.43566416664,1250.142857142857,0.0,27416,0,3,1,No
40,안국동,4,0.1373903020522022,1.0,90589.43566416664,1250.142857142857,0.0,39606,0,3,1,No
41,소격동,1,0.2484386619846554,1.0,90589.43566416664,1250.142857142857,0.0,27654,0,3,1,No
42,화동,1,0.0,3.0,90589.43566416664,1250.142857142857,0.0,0,0,3,1,No
43,사간동,1,0.3845938664433375,1.6666666666666667,90589.43566416664,1250.142857142857,0.0,0,0,0,1,No
44,송현동,1,0.3816041228576421,4.0,90589.43566416664,1250.142857142857,0.0,0,0,0,1,No
45,가회동,8,0.0,7.333333333333333,310687.9574727083,2051.0,0.0,7408,0,3,1,No
46,재동,4,0.0645402663967647,1.3333333333333333,310687.9574727083,2051.0,0.0,25172,0,3,1,No
47,계동,6,0.0289458923031359,4.666666666666667,310687.9574727083,2051.0,0.195652174,0,0,3,1,No
48,원서동,3,0.0,8.0,310687.9574727083,2051.0,0.0,26556,0,3,1,No
49,훈정동,0,0.0,4.666666666666667,424724.68218877865,481.7931034482759,0.5,0,0,1,1,No
50,묘동,2,0.0,0.3333333333333333,424724.68218877865,481.7931034482759,0.0,66520,0,3,1,No
51,봉익동,0,0.0,1.6666666666666667,424724.68218877865,481.7931034482759,0.16,0,0,3,1,No
52,돈의동,1,0.0,1.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
53,장사동,1,0.0,2.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
54,관수동,1,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.324324324,30588,0,1,1,No
55,종로3가,7,0.0,0.0,424724.68218877865,481.7931034482759,0.472222222,109618,0,1,1,No
56,인의동,2,0.0,1.0,424724.68218877865,481.7931034482759,0.0,61358,0,3,1,No
57,예지동,3,0.0,1.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
58,원남동,4,0.1168546104977409,3.6666666666666665,424724.68218877865,481.7931034482759,0.0,34542,0,3,1,No
59,연지동,1,0.0,2.0,406797.1483736667,3057.6,0.0,58248,0,3,1,No
60,종로4가,6,0.0,0.0,424724.68218877865,481.7931034482759,0.0,65874,0,3,1,No
61,효제동,3,0.0,0.3333333333333333,406797.1483736667,3057.6,0.393939394,4092,0,1,1,No
62,종로5가,8,0.0,0.0,406797.1483736667,3057.6,0.134615385,121908,0,3,1,No
63,종로6가,5,0.0,1.6666666666666667,406797.1483736667,3057.6,0.457627119,93286,0,1,1,No
64,이화동,2,0.0057998592598981,3.333333333333333,258517.6210818056,4744.0,0.162162162,13864,0,3,1,No
65,연건동,15,0.4027711495059952,4.0,258517.6210818056,4744.0,0.0,70974,0,0,3,No
66,충신동,3,0.0,2.0,406797.1483736667,3057.6,0.36,58234,0,1,1,No
67,동숭동,4,0.0735302008559091,6.666666666666667,258517.6210818056,4744.0,0.173410405,65282,0,3,1,No
68,혜화동,9,0.1206166641241212,4.0,159625.2611950694,1477.8333333333333,0.379746835,160154,0,1,1,No
69,명륜1가,6,0.0,10.333333333333334,159625.2611950694,1477.8333333333333,0.344262295,0,0,1,1,No
70,명륜2가,5,0.1599075194302931,7.0,159625.2611950694,1477.8333333333333,0.86746988,90610,1,1,2,No
71,명륜4가,2,0.1600330151287512,3.0,159625.2611950694,1477.8333333333333,0.081081081,65626,0,3,1,No
72,명륜3가,15,0.0,10.666666666666666,159625.2611950694,1477.8333333333333,0.18556701,0,0,3,1,No
73,창신동,17,0.0,9.666666666666666,329784.92104166665,24916.0,0.465163934,168270,0,1,1,No
74,숭인동,21,0.0,8.0,380431.4159866667,28943.0,0.400990099,240418,0,1,1,No
75,교남동,4,0.0,1.3333333333333333,26805.37144138889,2264.5,0.8,0,0,1,2,No
76,평동,6,0.0,4.0,26805.37144138889,2264.5,0.333333333,27292,0,1,1,No
77,송월동,1,0.0,9.0,26805.37144138889,2264.5,0.384615385,27320,0,1,1,No
78,홍파동,1,0.0,6.0,26805.37144138889,2264.5,0.173913043,0,0,3,1,No
79,교북동,6,0.0,5.333333333333333,26805.37144138889,2264.5,0.5,26674,0,1,1,No
80,행촌동,4,0.0,9.333333333333334,26805.37144138889,2264.5,0.142857143,0,0,3,1,No
81,구기동,18,0.0,21.666666666666668,1169905.69389375,9614.5,0.447368421,9540,0,1,1,No
82,평창동,36,0.0,13.333333333333334,1169905.69389375,9614.5,0.582995951,15806,0,1,2,No
83,부암동,9,0.0,17.0,173991.8239934722,3235.6666666666665,0.507692308,9576,0,1,1,No
84,홍지동,19,0.0,17.666666666666668,173991.8239934722,3235.6666666666665,0.28,14856,0,3,1,No
85,신영동,6,0.0,22.666666666666668,173991.8239934722,3235.6666666666665,0.253521127,4208,0,3,1,No
86,무악동,4,0.0,20.0,121030.53389458332,20422.0,0.0,50616,0,3,1,No
87,무교동,0,0.0,0.6666666666666666,406231.7243324095,638.7391304347826,0.0,0,0,3,1,No
88,다동,0,0.0,0.0,406231.7243324095,638.7391304347826,0.692307692,23618,0,1,2,No
89,태평로1가,7,0.0,2.0,406231.7243324095,638.7391304347826,0.109090909,108796,0,3,1,No
90,을지로1가,5,0.0,0.3333333333333333,406231.7243324095,638.7391304347826,0.454545455,112640,0,1,1,No
91,을지로2가,3,0.0,1.0,406231.7243324095,638.7391304347826,0.238095238,115472,0,3,1,No
