fid,BASE_DATE,ADM_CD,SIGNGU_CD,SIGNGU_NM,NUMPOINTS
1,20230701,11010530,11110,종로구,0
2,20230701,11010530,11140,중구,0
3,20230701,11010540,11110,종로구,0
4,20230701,11010540,11290,성북구,0
5,20230701,11010550,11110,종로구,0
6,20230701,11010550,11290,성북구,0
7,20230701,11010550,11410,서대문구,0
8,20230701,11010560,11110,종로구,0
9,20230701,11010560,11290,성북구,0
10,20230701,11010560,11380,은평구,0
11,20230701,11010560,11410,서대문구,0
12,20230701,11030740,11140,중구,0
13,20230701,11030740,11170,용산구,0
14,20230701,11030740,11200,성동구,0
15,20230701,11030740,11650,서초구,0
16,20230701,11030740,11680,강남구,0
17,20230701,11040520,11140,중구,0
18,20230701,11040520,11200,성동구,1
19,20230701,11040540,11200,성동구,0
20,20230701,11020680,11140,중구,0
21,20230701,11020680,11170,용산구,0
22,20230701,11020680,11410,서대문구,0
23,20230701,11020680,11440,마포구,0
24,20230701,11040730,11140,중구,0
25,20230701,11040730,11170,용산구,0
26,20230701,11040730,11200,성동구,0
27,20230701,11040730,11680,강남구,0
28,20230701,11020580,11140,중구,0
29,20230701,11020580,11170,용산구,0
30,20230701,11020590,11140,중구,0
31,20230701,11040550,11200,성동구,1
32,20230701,11030510,11140,중구,0
33,20230701,11030510,11170,용산구,0
34,20230701,11030520,11140,중구,0
35,20230701,11030520,11170,용산구,0
36,20230701,11030530,11140,중구,0
37,20230701,11030530,11170,용산구,0
38,20230701,11030570,11170,용산구,0
39,20230701,11030570,11440,마포구,0
40,20230701,11030570,11560,영등포구,0
41,20230701,11030580,11170,용산구,0
42,20230701,11030580,11440,마포구,0
43,20230701,11030590,11170,용산구,0
44,20230701,11030590,11440,마포구,0
45,20230701,11030650,11170,용산구,0
46,20230701,11040590,11140,중구,0
47,20230701,11040590,11200,성동구,0
48,20230701,11040620,11200,성동구,0
49,20230701,11040650,11200,성동구,1
50,20230701,11040650,11680,강남구,0
51,20230701,11040670,11200,성동구,2
52,20230701,11040670,11215,광진구,0
53,20230701,11040670,11680,강남구,0
54,20230701,11040690,11200,성동구,0
55,20230701,11040690,11215,광진구,0
56,20230701,11040700,11200,성동구,1
57,20230701,11040700,11230,동대문구,0
58,20230701,11080650,11110,종로구,0
59,20230701,11080650,11290,성북구,0
60,20230701,11080650,11305,강북구,0
61,20230701,11080660,11290,성북구,0
62,20230701,11080660,11305,강북구,0
63,20230701,11080810,11110,종로구,0
64,20230701,11080810,11290,성북구,0
65,20230701,11080820,11110,종로구,0
66,20230701,11080820,11290,성북구,0
67,20230701,11080830,11290,성북구,0
68,20230701,11060720,11230,동대문구,1
69,20230701,11060720,11260,중랑구,0
70,20230701,11060890,11230,동대문구,0
71,20230701,11060890,11260,중랑구,0
72,20230701,11060890,11290,성북구,0
73,20230701,11060900,11230,동대문구,0
74,20230701,11060900,11260,중랑구,0
75,20230701,11060900,11290,성북구,0
76,20230701,11060910,11200,성동구,0
77,20230701,11060910,11230,동대문구,1
78,20230701,11070590,11260,중랑구,3
79,20230701,11070610,11260,중랑구,0
80,20230701,11070690,11260,중랑구,0
81,20230701,11070690,11350,노원구,0
82,20230701,11080720,11230,동대문구,0
83,20230701,11080720,11290,성북구,0
84,20230701,11050660,11215,광진구,0
85,20230701,11050660,11680,강남구,0
86,20230701,11050660,11710,송파구,0
87,20230701,11050610,11215,광진구,0
88,20230701,11090630,11290,성북구,0
89,20230701,11090630,11305,강북구,0
90,20230701,11090690,11290,성북구,0
91,20230701,11090690,11305,강북구,0
92,20230701,11090720,11290,성북구,0
93,20230701,11090720,11305,강북구,0
94,20230701,11090730,11290,성북구,0
95,20230701,11090730,11305,강북구,0
96,20230701,11090740,11305,강북구,0
97,20230701,11090740,11320,도봉구,0
98,20230701,11110520,11290,성북구,0
99,20230701,11110520,11305,강북구,0
