기준_년분기_코드,행정동_코드,행정동_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20233,11260630,묵2동,2062,1388,674
20233,11305660,인수동,4298,2498,1800
20233,11320690,방학1동,6582,3804,2778
20233,11110530,사직동,47822,29932,17890
20233,11170700,보광동,1059,532,527
20233,11170520,용산2가동,1795,1266,529
20233,11170640,이촌2동,2906,1976,930
20233,11200615,금호2?3가동,697,365,332
20233,11200645,옥수동,4791,1847,2944
20233,11215810,광장동,16633,10092,6541
20233,11215830,자양2동,5005,3083,1922
20233,11215847,자양4동,1152,729,423
20233,11215740,중곡1동,5496,2668,2828
20233,11230536,용신동,23899,12377,11522
20233,11230720,휘경1동,1421,830,591
20233,11230730,휘경2동,4402,2273,2129
20233,11260655,망우본동,3417,1787,1630
20233,11260570,면목7동,1410,772,638
20233,11260680,신내1동,4245,2030,2215
20233,11290685,길음2동,722,307,415
20233,11290525,성북동,23717,18050,5667
20233,11290780,장위3동,1195,728,467
20233,11290705,종암동,22158,11647,10511
20233,11305535,미아동,1850,1039,811
20233,11305608,번3동,1263,689,574
20233,11320670,쌍문2동,1469,825,644
20233,11350720,상계10동,1064,449,615
20233,11350570,월계2동,1268,617,651
20233,11410710,북가좌1동,1739,1357,382
20233,11410655,홍제2동,739,379,360
20233,11440585,도화동,13141,7986,5155
20233,11440740,상암동,15320,9403,5917
20233,11440660,서교동,26960,13797,13163
20233,11440710,연남동,3213,1975,1238
20233,11500535,등촌3동,15368,8147,7221
20233,11500640,방화2동,3390,2190,1200
20233,11500641,방화3동,5011,3236,1775
20233,11500570,화곡4동,2710,1207,1503
20233,11500590,화곡본동,2983,1681,1302
20233,11530595,가리봉동,972,454,518
20233,11530520,구로1동,4769,2813,1956
20233,11530770,오류1동,4294,2719,1575
20233,11560650,신길3동,1332,863,469
20233,11560690,신길7동,2693,1837,856
20233,11590530,상도1동,6189,3568,2621
20233,11620525,보라매동,1838,943,895
20233,11620695,신림동,1946,1168,778
20233,11620615,중앙동,1420,666,754
20233,11620545,청림동,2705,1543,1162
20233,11650600,방배1동,19003,12553,6450
20233,11650531,서초4동,37488,21433,16055
20233,11680531,논현2동,55372,35328,20044
20233,11680580,삼성1동,130157,87840,42317
20233,11710631,가락1동,5913,4134,1779
20233,11710540,마천1동,955,471,484
20233,11710510,풍납1동,1718,964,754
20233,11710520,풍납2동,23596,11568,12028
20233,11740640,성내1동,17072,11605,5467
20233,11110570,무악동,608,169,439
20233,11140665,동화동,1504,682,822
20233,11140635,약수동,17658,6830,10828
20233,11140605,을지로동,15914,8662,7252
20233,11170530,남영동,21173,8924,12249
20233,11170685,한남동,41934,30661,11273
20233,11200650,성수1가1동,3550,2228,1322
20233,11200520,왕십리2동,1259,746,513
20233,11200580,응봉동,1688,695,993
20233,11200560,행당1동,2359,1588,771
20233,11215870,구의3동,12940,7885,5055
20233,11230660,장안2동,6304,3377,2927
20233,11290715,월곡1동,2594,1577,1017
20233,11290770,장위2동,1746,1050,696
20233,11290640,정릉3동,2441,1649,792
20233,11305595,번1동,2555,1499,1056
20233,11305575,삼각산동,1296,708,588
20233,11305625,수유2동,2222,1180,1042
20233,11305645,우이동,2841,1745,1096
20233,11320515,창5동,7114,4495,2619
20233,11350595,공릉1동,6301,3404,2897
20233,11350700,상계8동,1180,616,564
20233,11410690,남가좌1동,3997,2401,1596
20233,11440565,공덕동,14467,8329,6138
20233,11440610,염리동,3956,2587,1369
20233,11470550,목5동,31153,18954,12199
20233,11470570,신월2동,2996,1737,1259
20233,11470670,신정6동,18155,11030,7125
20233,11500540,화곡1동,5031,2822,2209
20233,11530750,개봉2동,8038,3972,4066
20233,11530730,고척2동,3143,1958,1185
20233,11530560,구로5동,14392,9095,5297
20233,11560620,양평2동,14774,8451,6323
20233,11560535,영등포동,14217,7943,6274
20233,11590670,신대방1동,7418,4694,2724
20233,11620645,서원동,2912,1206,1706
20233,11620625,인헌동,3435,1976,1459
20233,11620595,청룡동,6665,3660,3005
20233,11650570,반포2동,9861,5872,3989
20233,11650520,서초2동,67858,45080,22778
20233,11650652,양재2동,43401,32515,10886
20233,11680740,일원2동,5600,3682,1918
20233,11710620,가락본동,27955,16882,11073
20233,11710562,방이2동,24911,14324,10587
20233,11710670,잠실2동,7793,5196,2597
20233,11740600,천호1동,2450,1407,1043
20233,11110540,삼청동,5862,4751,1111
20233,11110630,종로5?6가동,15588,9737,5851
20233,11110670,창신1동,1307,566,741
20233,11110650,혜화동,6669,3263,3406
20233,11170690,서빙고동,14416,9448,4968
20233,11170590,용문동,2710,1570,1140
20233,11170560,원효로1동,4677,3188,1489
20233,11170630,이촌1동,10866,6950,3916
20233,11170555,청파동,4834,2581,2253
20233,11200590,금호1가동,2304,858,1446
20233,11200720,송정동,1247,754,493
20233,11215770,중곡4동,5044,2482,2562
20233,11215710,화양동,2662,1687,975
20233,11230610,답십리2동,4215,3060,1155
20233,11230750,이문2동,2210,1168,1042
20233,11230650,장안1동,10768,6778,3990
20233,11260540,면목4동,1624,1162,462
20233,11290660,길음1동,6329,3095,3234
20233,11290610,보문동,6952,5271,1681
20233,11290555,삼선동,6459,3237,3222
20233,11290760,장위1동,1324,690,634
20233,11290630,정릉2동,1757,773,984
20233,11305603,번2동,1380,655,725
20233,11350630,상계1동,5569,3527,2042
20233,11350670,상계5동,1861,927,934
20233,11350695,상계6?7동,6346,2810,3536
20233,11350560,월계1동,2778,1511,1267
20233,11350624,중계4동,2064,1128,936
20233,11350612,하계2동,1414,910,504
20233,11380570,대조동,2617,1284,1333
20233,11380640,증산동,2848,1844,1004
20233,11410585,신촌동,5047,2648,2399
20233,11410620,홍제1동,2477,1275,1202
20233,11440690,망원1동,3153,1750,1403
20233,11440730,성산2동,2757,1239,1518
20233,11470510,목1동,17427,11303,6124
20233,11470600,신월5동,2190,1209,981
20233,11470610,신월6동,1115,652,463
20233,11470680,신정7동,5753,3432,2321
20233,11500620,공항동,33826,17706,16120
20233,11500530,등촌2동,4992,2944,2048
20233,11500615,우장산동,6277,3448,2829
20233,11500550,화곡2동,1532,914,618
20233,11500591,화곡6동,10754,6820,3934
20233,11530760,개봉3동,1995,1198,797
20233,11560630,신길1동,3535,1563,1972
20233,11560670,신길5동,1404,679,725
20233,11560540,여의동,217817,154569,63248
20233,11620585,낙성대동,10344,5721,4623
20233,11620685,신사동,4234,2870,1364
20233,11620605,은천동,4644,2204,2440
20233,11650590,방배본동,28234,15628,12606
20233,11680610,대치2동,92377,51697,40680
20233,11680590,삼성2동,62165,35711,26454
20233,11680700,세곡동,1534,879,655
20233,11680650,역삼2동,51209,30365,20844
20233,11680730,일원1동,2518,1370,1148
20233,11680565,청담동,57122,32691,24431
20233,11710531,거여1동,3835,2832,1003
20233,11710647,위례동,1268,1216,52
20233,11710690,잠실4동,9652,7756,1896
20233,11710710,잠실6동,46691,24881,21810
20233,11710650,잠실본동,9422,6016,3406
20233,11710646,장지동,6769,4617,2152
20233,11740590,암사3동,3192,1912,1280
20233,11140670,황학동,1714,1102,612
20233,11140540,회현동,58705,36279,22426
20233,11200690,성수2가3동,23863,15312,8551
20233,11215840,자양3동,3370,2410,960
20233,11260580,상봉1동,2499,1715,784
20233,11260590,상봉2동,5328,3673,1655
20233,11290600,안암동,4686,3030,1656
20233,11320710,방학3동,3005,1804,1201
20233,11320680,쌍문3동,2022,963,1059
20233,11350710,상계9동,2626,1662,964
20233,11350580,월계3동,1502,756,746
20233,11350625,중계2?3동,2225,1256,969
20233,11380580,응암1동,2895,1605,1290
20233,11410615,연희동,14856,9739,5117
20233,11410660,홍은1동,7584,1500,6084
20233,11440600,대흥동,5628,2774,2854
20233,11440700,망원2동,5201,3099,2102
20233,11470611,신월7동,4357,2856,1501
20233,11470630,신정2동,13985,8015,5970
20233,11530550,구로4동,2159,1229,930
20233,11545510,가산동,84451,55529,28922
20233,11545620,독산2동,1789,993,796
20233,11545680,시흥2동,3435,2024,1411
20233,11560585,도림동,1619,1028,591
20233,11560605,문래동,81647,59216,22431
20233,11590660,대방동,11271,7474,3797
20233,11590560,상도4동,2530,1503,1027
20233,11620735,대학동,3077,2250,827
20233,11620665,서림동,1808,1022,786
20233,11650621,방배4동,21837,13492,8345
20233,11650651,양재1동,33395,21554,11841
20233,11680660,개포1동,18376,11295,7081
20233,11680656,도곡2동,192577,131699,60878
20233,11680640,역삼1동,170825,101049,69776
20233,11680720,일원본동,36779,20548,16231
20233,11710550,마천2동,2599,1634,965
20233,11710561,방이1동,9129,6671,2458
20233,11710580,송파1동,8660,5413,3247
20233,11740690,둔촌1동,1519,845,674
20233,11740520,상일동,3611,1827,1784
20233,11110640,이화동,5235,2876,2359
20233,11110680,창신2동,344,116,228
20233,11110560,평창동,23179,12994,10185
20233,11140590,광희동,42508,21177,21331
20233,11140680,중림동,4348,2429,1919
