자치구,대여소명,기준년월,대여건수,반납건수
강남구,2301. 현대고등학교 건너편,202301,383,439
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202301,433,446
강남구,2303. 논현역 10번출구,202301,648,508
강남구,2304. 대현그린타워,202301,76,55
강남구,2305. MCM 본사 직영점 앞,202301,172,179
강남구,2306. 압구정역 2번 출구 옆,202301,865,830
강남구,2307. 압구정 한양 3차 아파트,202301,201,149
강남구,2308. 압구정파출소 앞,202301,516,543
강남구,2309. 청담역(우리들병원 앞),202301,165,75
강남구,2310. 청담동 맥도날드 옆(위치),202301,193,207
강남구,2311. 학동로 래미안 아파트 앞,202301,95,64
강남구,2312. 청담역 13번 출구 앞,202301,222,180
강남구,2313. 금원빌딩 앞,202301,322,356
강남구,2314. 청담나들목입구,202301,113,110
강남구,2315. 봉은사역 5번출구 옆,202301,263,246
강남구,2317. 삼성도로공원,202301,201,202
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202301,132,66
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202301,306,345
강남구,2320. 도곡역 대치지구대 방향,202301,265,307
강남구,2321. 학여울역 사거리,202301,185,198
강남구,2323. 주식회사 오뚜기 정문 앞,202301,315,318
강남구,2324. 천주교 대치 2동 교회 옆,202301,577,584
강남구,2325. 대치삼성아파트 앞 교차로,202301,415,399
강남구,2326. 대치동 삼성로,202301,357,204
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202301,505,565
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202301,329,314
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202301,267,244
강남구,2330. 역삼월드메르디앙아파트 앞,202301,279,285
강남구,2331. 동영문화센터앞,202301,363,312
강남구,2332. 선릉역3번출구,202301,748,759
강남구,2333. 양재역 3번출구 주변,202301,603,346
강남구,2334. 삼호아파트 2동 ( 간선도로),202301,133,111
강남구,2335. 3호선 매봉역 3번출구앞,202301,728,852
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202301,285,256
강남구,2337. 대모산입구역 2번출구 앞,202301,221,175
강남구,2339. 현대아파트 정문 앞,202301,299,250
강남구,2340. 삼호물산버스정류장(23370) 옆,202301,845,1034
강남구,2341. 일원역 4~5번 출구 사이,202301,229,125
강남구,2342. 대청역 1번출구  뒤,202301,646,686
강남구,2343. 세곡사거리 대왕파출소 앞,202301,42,23
강남구,2344. 리엔파크 2단지 앞,202301,154,156
강남구,2347. 두산건설 본사,202301,127,47
강남구,2348. 포스코사거리(기업은행),202301,736,837
강남구,2349. 역삼빌딩 앞(하나은행 옆),202301,286,137
강남구,2350. 래미안그레이튼102동앞,202301,113,123
강남구,2351. 청소년수련관(수영장)앞,202301,188,125
강남구,2352. 서울본부세관(건설회관 앞),202301,57,41
강남구,2353. 강남구청역 2번출구 뒤,202301,178,169
강남구,2354. 청담역 2번출구,202301,69,69
강남구,2356. 강남구청,202301,197,128
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202301,217,206
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202301,227,230
강남구,"2359. 국립국악중,고교 정문 맞은편",202301,384,448
강남구,2360. 도곡1동 주민센터 교차로,202301,320,324
