행정동,주택수,행정동코드,지역
사직동,2778,1111053000.0,서울특별시 종로구 사직동
삼청동,730,1111054000.0,서울특별시 종로구 삼청동
부암동,3070,1111055000.0,서울특별시 종로구 부암동
평창동,5958,1111056000.0,서울특별시 종로구 평창동
무악동,2860,1111057000.0,서울특별시 종로구 무악동
교남동,3917,1111058000.0,서울특별시 종로구 교남동
가회동,1601,1111060000.0,서울특별시 종로구 가회동
종로1.2.3.4가동,1652,1111061500.0,서울특별시 종로구 종로1.2.3.4가동
종로5.6가동,1319,1111063000.0,서울특별시 종로구 종로5.6가동
이화동,2624,1111064000.0,서울특별시 종로구 이화동
혜화동,5065,1111065000.0,서울특별시 종로구 혜화동
창신1동,1589,,
창신2동,2466,,
창신3동,2150,,
숭인1동,1588,,
숭인2동,3358,,
청운효자동,4134,1111051500.0,서울특별시 종로구 청운효자동
소공동,685,1114052000.0,서울특별시 중구 소공동
회현동,1744,1114054000.0,서울특별시 중구 회현동
명동,547,1114055000.0,서울특별시 중구 명동
필동,1191,1114057000.0,서울특별시 중구 필동
필동,1191,1114057000.0,서울특별시 용산구 필동
장충동,2433,1114058000.0,서울특별시 중구 장충동
광희동,1828,1114059000.0,서울특별시 중구 광희동
을지로동,422,1114060500.0,서울특별시 중구 을지로동
신당5동,3376,,
황학동,3959,1114067000.0,서울특별시 중구 황학동
중림동,4324,1114068000.0,서울특별시 중구 중림동
신당동,2526,1114061500.0,서울특별시 중구 신당동
다산동,4507,1114062500.0,서울특별시 중구 다산동
약수동,6584,1114063500.0,서울특별시 중구 약수동
청구동,4928,1114064500.0,서울특별시 중구 청구동
동화동,3180,1114066500.0,서울특별시 중구 동화동
후암동,5363,1117051000.0,서울특별시 용산구 후암동
용산2가동,3243,1117052000.0,서울특별시 용산구 용산2가동
남영동,1714,1117053000.0,서울특별시 용산구 남영동
원효로2동,4631,,
효창동,3463,1117058000.0,서울특별시 용산구 효창동
용문동,4231,1117059000.0,서울특별시 용산구 용문동
이촌1동,9540,,
이촌2동,3415,,
이태원1동,2198,,
이태원2동,3058,,
서빙고동,4268,1117069000.0,서울특별시 용산구 서빙고동
보광동,3588,1117070000.0,서울특별시 용산구 보광동
청파동,5636,1117055500.0,서울특별시 용산구 청파동
청파동,5636,1117055500.0,서울특별시 마포구 청파동
원효로1동,5251,,
한강로동,6769,1117062500.0,서울특별시 용산구 한강로동
한남동,8174,1117068500.0,서울특별시 용산구 한남동
왕십리2동,5060,,
마장동,6564,1120054000.0,서울특별시 성동구 마장동
사근동,3183,1120055000.0,서울특별시 성동구 사근동
행당1동,4990,,
행당2동,8481,,
응봉동,5322,1120058000.0,서울특별시 성동구 응봉동
금호1가동,6021,1120059000.0,서울특별시 성동구 금호1가동
금호4가동,5223,1120062000.0,서울특별시 성동구 금호4가동
성수1가1동,4897,,
성수1가2동,3689,,
성수2가1동,4288,,
성수2가3동,2944,,
송정동,2331,1120072000.0,서울특별시 성동구 송정동
용답동,2504,1120079000.0,서울특별시 성동구 용답동
용답동,2504,1120079000.0,서울특별시 동대문구 용답동
왕십리도선동,8480,1120053500.0,서울특별시 성동구 왕십리도선동
금호2.3가동,7453,1120061500.0,서울특별시 성동구 금호2.3가동
옥수동,9899,1120064500.0,서울특별시 성동구 옥수동
화양동,5296,1121571000.0,서울특별시 광진구 화양동
군자동,4556,1121573000.0,서울특별시 광진구 군자동
중곡1동,3613,,
중곡2동,4986,,
중곡3동,3870,,
중곡4동,7366,,
능동,2531,1121578000.0,서울특별시 광진구 능동
구의1동,5195,,
구의2동,7341,,
구의3동,9070,,
광장동,10349,1121581000.0,서울특별시 광진구 광장동
자양1동,5398,,
자양2동,7066,,
자양3동,8582,,
자양4동,4613,,
회기동,3115,1123071000.0,서울특별시 동대문구 회기동
휘경1동,4327,,
휘경2동,6802,,
청량리동,6209,1123070500.0,서울특별시 동대문구 청량리동
답십리1동,9261,,
답십리2동,9791,,
용신동,8495,1123053600.0,서울특별시 동대문구 용신동
제기동,7896,1123054500.0,서울특별시 동대문구 제기동
전농1동,8308,,
전농2동,6437,,
장안1동,11799,,
장안2동,9852,,
이문1동,4948,,
이문2동,6280,,
면목2동,6489,,
면목4동,5408,,
면목5동,4409,,
면목7동,6204,,
상봉1동,7937,,
상봉2동,6146,,
중화1동,5691,,
중화2동,6553,,
묵1동,10805,,
묵2동,5309,,
망우3동,3604,,
