시,구,행정동,주택수
서울시,종로구,소계,46859
서울시,종로구,사직동,2778
서울시,종로구,삼청동,730
서울시,종로구,부암동,3070
서울시,종로구,평창동,5958
서울시,종로구,무악동,2860
서울시,종로구,교남동,3917
서울시,종로구,가회동,1601
서울시,종로구,종로1.2.3.4가동,1652
서울시,종로구,종로5.6가동,1319
서울시,종로구,이화동,2624
서울시,종로구,혜화동,5065
서울시,종로구,창신1동,1589
서울시,종로구,창신2동,2466
서울시,종로구,창신3동,2150
서울시,종로구,숭인1동,1588
서울시,종로구,숭인2동,3358
서울시,종로구,청운효자동,4134
서울시,중구,소계,42234
서울시,중구,소공동,685
서울시,중구,회현동,1744
서울시,중구,명동,547
서울시,중구,필동,1191
서울시,중구,장충동,2433
서울시,중구,광희동,1828
서울시,중구,을지로동,422
서울시,중구,신당5동,3376
서울시,중구,황학동,3959
서울시,중구,중림동,4324
서울시,중구,신당동,2526
서울시,중구,다산동,4507
서울시,중구,약수동,6584
서울시,중구,청구동,4928
서울시,중구,동화동,3180
서울시,용산구,소계,74542
서울시,용산구,후암동,5363
서울시,용산구,용산2가동,3243
서울시,용산구,남영동,1714
서울시,용산구,원효로2동,4631
서울시,용산구,효창동,3463
서울시,용산구,용문동,4231
서울시,용산구,이촌1동,9540
서울시,용산구,이촌2동,3415
서울시,용산구,이태원1동,2198
서울시,용산구,이태원2동,3058
서울시,용산구,서빙고동,4268
서울시,용산구,보광동,3588
서울시,용산구,청파동,5636
서울시,용산구,원효로1동,5251
서울시,용산구,한강로동,6769
서울시,용산구,한남동,8174
서울시,성동구,소계,91329
서울시,성동구,왕십리2동,5060
서울시,성동구,마장동,6564
서울시,성동구,사근동,3183
서울시,성동구,행당1동,4990
서울시,성동구,행당2동,8481
서울시,성동구,응봉동,5322
서울시,성동구,금호1가동,6021
서울시,성동구,금호4가동,5223
서울시,성동구,성수1가1동,4897
서울시,성동구,성수1가2동,3689
서울시,성동구,성수2가1동,4288
서울시,성동구,성수2가3동,2944
서울시,성동구,송정동,2331
서울시,성동구,용답동,2504
서울시,성동구,왕십리도선동,8480
서울시,성동구,금호2.3가동,7453
서울시,성동구,옥수동,9899
서울시,광진구,소계,89832
서울시,광진구,화양동,5296
서울시,광진구,군자동,4556
서울시,광진구,중곡1동,3613
서울시,광진구,중곡2동,4986
서울시,광진구,중곡3동,3870
서울시,광진구,중곡4동,7366
서울시,광진구,능동,2531
서울시,광진구,구의1동,5195
서울시,광진구,구의2동,7341
서울시,광진구,구의3동,9070
서울시,광진구,광장동,10349
서울시,광진구,자양1동,5398
서울시,광진구,자양2동,7066
서울시,광진구,자양3동,8582
서울시,광진구,자양4동,4613
서울시,동대문구,소계,103520
서울시,동대문구,회기동,3115
서울시,동대문구,휘경1동,4327
서울시,동대문구,휘경2동,6802
서울시,동대문구,청량리동,6209
서울시,동대문구,답십리1동,9261
서울시,동대문구,답십리2동,9791
서울시,동대문구,용신동,8495
서울시,동대문구,제기동,7896
서울시,동대문구,전농1동,8308
서울시,동대문구,전농2동,6437
서울시,동대문구,장안1동,11799
서울시,동대문구,장안2동,9852
서울시,동대문구,이문1동,4948
서울시,동대문구,이문2동,6280
서울시,중랑구,소계,112364
서울시,중랑구,면목2동,6489
서울시,중랑구,면목4동,5408
서울시,중랑구,면목5동,4409
서울시,중랑구,면목7동,6204
서울시,중랑구,상봉1동,7937
서울시,중랑구,상봉2동,6146
서울시,중랑구,중화1동,5691
서울시,중랑구,중화2동,6553
서울시,중랑구,묵1동,10805
서울시,중랑구,묵2동,5309
서울시,중랑구,망우3동,3604
서울시,중랑구,신내1동,12959
서울시,중랑구,신내2동,8440
서울시,중랑구,면목본동,8582
서울시,중랑구,면목3.8동,6375
서울시,중랑구,망우본동,7453
서울시,성북구,소계,138621
서울시,성북구,돈암1동,5778
서울시,성북구,돈암2동,8240
서울시,성북구,안암동,4022
서울시,성북구,보문동,4580
서울시,성북구,정릉1동,5856
서울시,성북구,정릉2동,8211
서울시,성북구,정릉3동,5359
서울시,성북구,정릉4동,8993
서울시,성북구,길음1동,11859
서울시,성북구,길음2동,5855
서울시,성북구,월곡1동,8267
서울시,성북구,월곡2동,5672
서울시,성북구,장위1동,6134
서울시,성북구,장위2동,4120
서울시,성북구,장위3동,6078
서울시,성북구,성북동,5605
서울시,성북구,삼선동,6987
서울시,성북구,동선동,4298
서울시,성북구,종암동,12235
서울시,성북구,석관동,10472
서울시,강북구,소계,97452
서울시,강북구,번1동,4529
서울시,강북구,번2동,6723
서울시,강북구,번3동,7257
서울시,강북구,수유1동,6781
서울시,강북구,수유2동,7243
서울시,강북구,수유3동,5962
서울시,강북구,삼양동,7808
서울시,강북구,미아동,6555
서울시,강북구,송중동,8803
서울시,강북구,송천동,7165
서울시,강북구,삼각산동,11376
서울시,강북구,우이동,7122
서울시,강북구,인수동,10128
서울시,도봉구,소계,107156
서울시,도봉구,쌍문1동,7530
서울시,도봉구,쌍문2동,6473
서울시,도봉구,쌍문3동,5022
서울시,도봉구,쌍문4동,6835
서울시,도봉구,방학1동,8331
서울시,도봉구,방학2동,6149
서울시,도봉구,방학3동,9698
서울시,도봉구,창1동,9024
서울시,도봉구,창2동,8798
서울시,도봉구,창3동,3977
서울시,도봉구,창4동,10132
서울시,도봉구,창5동,8681
서울시,도봉구,도봉1동,6964
서울시,도봉구,도봉2동,9542
서울시,노원구,소계,189213
서울시,노원구,월계1동,7568
서울시,노원구,월계2동,11477
서울시,노원구,월계3동,12688
서울시,노원구,공릉2동,12923
서울시,노원구,하계1동,10466
서울시,노원구,하계2동,8160
서울시,노원구,중계본동,8088
서울시,노원구,중계1동,8743
서울시,노원구,중계4동,7706
서울시,노원구,상계1동,13410
서울시,노원구,상계2동,6042
서울시,노원구,상계5동,7347
서울시,노원구,상계8동,9090
서울시,노원구,상계9동,8260
서울시,노원구,상계10동,6422
서울시,노원구,상계3.4동,9292
서울시,노원구,상계6.7동,13648
서울시,노원구,중계2.3동,14301
서울시,노원구,공릉1동,13582
서울시,은평구,소계,150658
서울시,은평구,녹번동,12546
서울시,은평구,불광1동,13601
서울시,은평구,갈현1동,7330
서울시,은평구,갈현2동,9400
서울시,은평구,구산동,10543
서울시,은평구,대조동,8662
서울시,은평구,응암1동,7341
서울시,은평구,응암2동,9263
서울시,은평구,신사1동,9417
서울시,은평구,신사2동,6580
서울시,은평구,증산동,4864
서울시,은평구,수색동,3114
서울시,은평구,진관동,17146
서울시,은평구,불광2동,8970
서울시,은평구,응암3동,6999
서울시,은평구,역촌동,14882
서울시,서대문구,소계,101036
서울시,서대문구,천연동,6081
서울시,서대문구,홍제1동,8022
서울시,서대문구,홍제3동,4969
서울시,서대문구,홍제2동,4993
서울시,서대문구,홍은1동,7308
서울시,서대문구,홍은2동,9267
서울시,서대문구,남가좌1동,5609
서울시,서대문구,남가좌2동,8979
서울시,서대문구,북가좌1동,6089
서울시,서대문구,북가좌2동,10603
서울시,서대문구,충현동,6573
서울시,서대문구,북아현동,5298
서울시,서대문구,신촌동,5570
서울시,서대문구,연희동,11675
서울시,마포구,소계,122311
서울시,마포구,용강동,7309
서울시,마포구,대흥동,3335
서울시,마포구,염리동,3186
서울시,마포구,신수동,7508
서울시,마포구,서교동,9189
서울시,마포구,합정동,6319
서울시,마포구,망원1동,7047
서울시,마포구,망원2동,6467
서울시,마포구,연남동,5648
서울시,마포구,성산1동,6662
서울시,마포구,성산2동,13092
서울시,마포구,상암동,9956
서울시,마포구,도화동,7170
서울시,마포구,서강동,8454
서울시,마포구,공덕동,11878
서울시,마포구,아현동,9091
서울시,양천구,소계,143769
서울시,양천구,목1동,7768
서울시,양천구,목2동,10552
서울시,양천구,목3동,7164
서울시,양천구,목4동,7503
서울시,양천구,신월1동,6314
서울시,양천구,신월2동,7374
서울시,양천구,신월3동,4371
서울시,양천구,신월4동,6145
서울시,양천구,신월5동,4715
서울시,양천구,신월6동,5099
서울시,양천구,신월7동,8547
서울시,양천구,신정1동,6041
서울시,양천구,신정2동,6119
서울시,양천구,신정3동,15440
서울시,양천구,신정6동,7214
서울시,양천구,신정7동,10861
서울시,양천구,목5동,12391
서울시,양천구,신정4동,10151
서울시,강서구,소계,195383
서울시,강서구,염창동,13248
서울시,강서구,등촌1동,6384
서울시,강서구,등촌2동,7009
서울시,강서구,등촌3동,13522
서울시,강서구,화곡본동,12605
서울시,강서구,화곡2동,6093
서울시,강서구,화곡3동,6665
서울시,강서구,화곡4동,7053
서울시,강서구,화곡6동,8085
